...1,family,genus,species,binomial,1-1_ActivityCycle,abm_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,dhofarensis,Crocidura dhofarensis,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,dolichura,Crocidura dolichura,-999,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,douceti,Crocidura douceti,-999,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,dsinezumi,Crocidura dsinezumi,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,eisentrauti,Crocidura eisentrauti,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,elgonius,Crocidura elgonius,-999,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,elongata,Crocidura elongata,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,erica,Crocidura erica,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,fischeri,Crocidura fischeri,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,flavescens,Crocidura flavescens,2,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,floweri,Crocidura floweri,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,foetida,Crocidura foetida,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soricomorpha,Soricidae,Crocidura,foxi,Crocidura foxi,-999,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
